workout_count=[1], workout_angle=[46.97377977326083], workout_stage=['down'], total_tracks=1, speed={'track': 36.4605520007899, 'solution': 0.8690269969520159}
workout_count=[1], workout_angle=[47.28769126375709], workout_stage=['down'], total_tracks=1, speed={'track': 36.630205999244936, 'solution': 0.8683160012878943}
workout_count=[1], workout_angle=[46.569990675553406], workout_stage=['down'], total_tracks=1, speed={'track': 36.08538499975111, 'solution': 0.8765870006754994}
workout_count=[1], workout_angle=[46.64284839703561], workout_stage=['down'], total_tracks=1, speed={'track': 35.378870998101775, 'solution': 0.8904570022423286}
workout_count=[1], workout_angle=[47.177769535788116], workout_stage=['down'], total_tracks=1, speed={'track': 35.95973199844593, 'solution': 0.8645970010547899}
workout_count=[1], workout_angle=[47.92024310414343], workout_stage=['down'], total_tracks=1, speed={'track': 36.333568998088595, 'solution': 0.8648270049889106}
workout_count=[1], workout_angle=[48.76414636529686], workout_stage=['down'], total_tracks=1, speed={'track': 37.28559799856157, 'solution': 0.8662060026836116}
workout_count=[1], workout_angle=[55.15637933483638], workout_stage=['down'], total_tracks=1, speed={'track': 37.065844000608195, 'solution': 0.8728070024517365}
workout_count=[1], workout_angle=[64.87806716030187], workout_stage=['down'], total_tracks=1, speed={'track': 37.89874900030554, 'solution': 0.9442580012546387}
workout_count=[1], workout_angle=[69.55515694653018], workout_stage=['down'], total_tracks=1, speed={'track': 37.46781100198859, 'solution': 0.9487989991612267}
workout_count=[1], workout_angle=[83.93996274918824], workout_stage=['down'], total_tracks=1, speed={'track': 37.52177099886467, 'solution': 0.8694870011822786}
workout_count=[1], workout_angle=[90.43904545041848], workout_stage=['down'], total_tracks=1, speed={'track': 37.38986000098521, 'solution': 0.8695469987287652}
workout_count=[1], workout_angle=[92.71467282129011], workout_stage=['down'], total_tracks=1, speed={'track': 36.569634001352824, 'solution': 0.8665969980938826}
workout_count=[1], workout_angle=[103.44271909433895], workout_stage=['down'], total_tracks=1, speed={'track': 37.59907300263876, 'solution': 0.8642869979667012}
workout_count=[1], workout_angle=[118.03880923458367], workout_stage=['down'], total_tracks=1, speed={'track': 36.00668199942447, 'solution': 0.8865780000633094}
workout_count=[1], workout_angle=[124.5192131968801], workout_stage=['down'], total_tracks=1, speed={'track': 35.19921700353734, 'solution': 0.8836069937387947}
workout_count=[1], workout_angle=[128.49840691270865], workout_stage=['down'], total_tracks=1, speed={'track': 36.43143199951737, 'solution': 0.8911269978852943}
workout_count=[1], workout_angle=[142.16755740227345], workout_stage=['down'], total_tracks=1, speed={'track': 35.15414699722896, 'solution': 0.8753660004003905}
workout_count=[1], workout_angle=[147.1485309322256], workout_stage=['up'], total_tracks=1, speed={'track': 35.90626100049121, 'solution': 0.8590269972046372}
workout_count=[1], workout_angle=[156.12960937469055], workout_stage=['up'], total_tracks=1, speed={'track': 37.08160399764893, 'solution': 0.8766970022406895}
workout_count=[1], workout_angle=[164.81798361302916], workout_stage=['up'], total_tracks=1, speed={'track': 38.07837299973471, 'solution': 0.8894269994925708}
workout_count=[1], workout_angle=[167.19242836702483], workout_stage=['up'], total_tracks=1, speed={'track': 36.064653999346774, 'solution': 0.8696269978827331}
workout_count=[1], workout_angle=[171.6498539017722], workout_stage=['up'], total_tracks=1, speed={'track': 36.629704998631496, 'solution': 0.8552770013920963}
workout_count=[1], workout_angle=[173.41346903595428], workout_stage=['up'], total_tracks=1, speed={'track': 35.02396499970928, 'solution': 0.8732469977985602}
workout_count=[1], workout_angle=[177.883591443613], workout_stage=['up'], total_tracks=1, speed={'track': 35.775099000602495, 'solution': 0.856626000313554}
workout_count=[1], workout_angle=[179.17718330263176], workout_stage=['up'], total_tracks=1, speed={'track': 36.44051100127399, 'solution': 0.8732869973755442}
